city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
brigantine,us,38.66000000006582,-72.66000000009763,39.41,-74.36,44.15,48,90,8.05
sale,au,-39.11999999997397,147.7499999997019,-38.11,147.06,65.52,99,92,6.89
salalah,om,13.17000000005278,61.809999999780075,17.01,54.1,80.6,74,0,3.36
kitui,ke,-2.0399999999550005,38.63999999980115,-1.37,38.02,73.52,57,36,7.96
verkhnevilyuysk,ru,60.550000000077034,121.49999999972579,63.45,120.31,-8.39,63,0,4.43
oktyabrskiy,ru,55.95000000007468,42.17999999979793,55.61,37.97,36.01,80,75,11.18
den helder,nl,54.21000000007376,4.62999999983208,52.96,4.76,43.2,75,40,10.29
bonavista,ca,53.14000000007323,-49.110000000119044,48.65,-53.11,32,58,0,14
devonport,au,-40.07999999997446,146.6499999997029,-41.18,146.36,53.69,95,0,1.99
monteiro,br,-7.9099999999580035,-36.99000000013007,-7.89,-37.12,76.94,97,88,2.75
bilopillya,ua,51.100000000072185,34.309999999805086,51.15,34.31,46.16,75,8,16.84
cayenne,gf,8.38000000005033,-47.910000000120135,4.94,-52.33,84.2,66,75,10.29
manggar,id,-4.409999999956213,109.62999999973658,-2.88,108.27,77.48,100,92,4.54
marsa matruh,eg,31.17000000006199,27.439999999811334,31.35,27.25,60.8,77,0,5.82
vanimo,pg,2.1000000000471175,140.99999999970805,-2.67,141.3,78.74,100,88,14
provost,ca,52.66000000007298,-110.38000000006332,52.35,-110.26,38.42,71,0,9.91
west odessa,us,31.280000000062046,-102.79000000007022,31.84,-102.48,61.18,25,1,10.29
constantine,dz,37.15000000006505,6.549999999830334,36.36,6.61,48.2,81,90,10.29
arona,es,26.780000000059744,-16.650000000148566,28.1,-16.68,62.55,52,20,23.04
villa sandino,ni,11.920000000052141,-84.80000000008658,12.05,-84.99,87.8,58,40,4.7
tres arroyos,ar,-38.07999999997344,-60.7000000001085,-38.38,-60.28,68.75,76,0,16.24
jinchang,cn,39.890000000066436,101.72999999974377,38.52,102.19,24.38,62,80,4.32
abu kamal,sy,32.5600000000627,40.87999999979911,34.45,40.92,48.77,54,20,5.84
kinston,us,35.45000000006418,-77.69000000009305,35.26,-77.58,63.45,48,1,6.93
san carlos de bariloche,ar,-39.72999999997428,-70.53000000009956,-41.13,-71.31,51.8,34,75,27.51
jinotega,ni,13.060000000052725,-85.90000000008558,13.09,-86,75.11,57,40,11.41
montevideo,uy,-35.4599999999721,-56.47000000011235,-34.83,-56.17,76.86,73,20,11.41
buraydah,sa,27.620000000060173,44.15999999979613,26.33,43.97,66.2,42,0,4.7
lakhdenpokhya,ru,61.72000000007762,30.27999999980875,61.52,30.2,36,85,88,3
ravar,ir,32.020000000062424,56.69999999978472,31.27,56.81,53.09,20,0,5.32
cobija,bo,-11.45999999995982,-67.72000000010212,-11.03,-68.77,89.6,62,40,4.7
portland,au,-57.60999999998343,129.88999999971816,-33.35,149.98,56.3,99,36,1.01
san jose,gt,12.820000000052602,-90.88000000008105,16.98,-89.9,82.25,58,88,5.77
funadhoo,mv,6.730000000049486,74.76999999976829,6.15,73.27,85.04,96,92,10.69
pitiquito,mx,29.750000000061263,-111.98000000006186,30.68,-112.05,76.35,33,0,4.05
mandalgovi,mn,43.95000000006854,107.6399999997384,45.76,106.27,31.31,73,0,14.83
atambua,id,-7.659999999957876,124.14999999972338,-9.11,124.89,79.37,100,88,9.86
lavrentiya,ru,69.60000000008165,-170.95000000000823,65.58,-170.99,4.67,93,44,8.63
almeria,es,36.53000000006473,-2.320000000161599,36.84,-2.46,57.97,63,75,16.11
bolotnoye,ru,55.430000000074415,84.6499999997593,55.67,84.39,18.53,84,68,6.78
conde,br,-14.149999999961196,-34.990000000131886,-11.81,-37.61,90.89,60,0,9.86
moba,cd,-7.539999999957814,28.80999999981009,-7.04,29.77,74.51,78,0,1.36
ternate,id,3.8200000000479974,129.30999999971868,0.8,127.4,80.99,100,0,4.09
impfondo,cg,2.2900000000472147,17.179999999820666,1.64,18.07,80.09,81,12,2.64
vostok,ru,53.720000000073526,147.9799999997017,46.45,135.83,26.81,79,36,2.53
tibati,cm,5.770000000048995,12.879999999824577,6.47,12.63,89.99,20,56,9.86
road town,vg,21.860000000057227,-64.29000000010524,18.42,-64.62,80.31,58,1,16.11
yatou,cn,34.30000000006359,124.6799999997229,33.81,104.32,25.82,88,8,1.74
arosa,ch,46.660000000069914,10.019999999827178,46.78,9.68,32.61,62,75,2.24
nyandoma,ru,61.450000000077466,40.40999999979954,61.67,40.21,33.74,92,92,18.59
upernavik,gl,75.33000000008457,-59.59000000010951,72.79,-56.15,-12.53,100,24,3.04
saiha,in,22.070000000057334,93.18999999975154,22.49,92.98,64.52,75,0,1.86
havre-saint-pierre,ca,50.45000000007184,-64.04000000010547,50.23,-63.6,17.6,72,90,16.11
macapa,br,0.060000000046073865,-51.15000000011719,0.05,-51.07,89.6,66,75,9.17
tautira,pf,-20.249999999964317,-142.81000000003382,-17.73,-149.15,84.09,74,40,4.7
longjiang,cn,47.07000000007014,123.27999999972417,47.33,123.18,35.72,44,0,10.2
boende,cd,-0.7399999999543354,21.169999999817037,-0.28,20.88,80.72,82,24,2.82
ocampo,mx,27.120000000059918,-103.16000000006989,27.32,-102.4,55.97,31,24,5.95
lerwick,gb,59.22000000007634,1.9399999998345265,60.15,-1.15,38.59,74,0,8.05
nabire,id,-2.759999999955369,135.7799999997128,-3.36,135.5,66.95,91,20,1.63
malinyi,tz,-9.249999999958689,36.31999999980326,-8.94,36.14,79.28,70,20,2.64
dekalb,us,41.72000000006739,-88.76000000008298,41.93,-88.75,40.21,60,75,8.05
jiexiu,cn,38.060000000065514,110.76999999973555,37.02,111.92,35.27,70,0,5.77
pitimbu,br,-7.579999999957835,-32.85000000013383,-7.47,-34.81,84.2,74,75,5.82
north bend,us,43.08000000006808,-130.56000000004497,43.41,-124.22,62.92,42,1,4.7
dafeng,cn,33.75000000006331,121.31999999972595,33.2,120.46,41.66,89,0,6.89
great yarmouth,gb,53.32000000007332,1.7199999998347266,52.61,1.73,45.16,75,40,5.82
nyakahanga,tz,-1.6399999999547958,31.15999999980795,-1.6,31.14,68.39,83,8,2.82
poltavskaya,ru,45.28000000006921,38.289999999801466,45.36,38.22,43.57,88,0,5.88
galt,us,38.3900000000657,-121.1800000000535,38.25,-121.3,65.8,37,1,5.82
korla,cn,36.62000000006478,85.1999999997588,41.76,86.15,40.12,60,8,1.99
vercheres,ca,45.70000000006942,-73.4600000000969,45.78,-73.35,28.92,36,1,17.22
san ignacio,pe,-5.219999999956627,-78.77000000009207,-5.15,-79,68.48,67,92,1.92
kawalu,id,-13.169999999960694,107.1999999997388,-7.38,108.21,67.04,95,88,1.92
bedele,et,8.020000000050146,36.069999999803485,8.46,36.35,64.7,72,0,2.37
kangaatsiaq,gl,69.2700000000815,-54.760000000113905,68.31,-53.46,-3.71,100,32,29.15
yining,cn,42.77000000006791,80.71999999976288,29.04,114.56,39.59,82,0,2.37
rio grande,br,-40.11999999997448,-43.040000000124564,-32.03,-52.1,73.4,94,75,11.41
benghazi,ly,32.83000000006284,18.21999999981972,32.12,20.07,63.26,96,0,3.42
eydhafushi,mv,4.840000000048519,71.68999999977109,5.1,73.07,85.22,97,88,11.21
tura,ru,63.080000000078314,99.47999999974581,64.27,100.22,0.8,69,0,2.26
supe,pe,-10.869999999959518,-77.66000000009308,-10.8,-77.72,72.71,95,0,10.09
hualmay,pe,-22.59999999996552,-96.01000000007639,-11.1,-77.61,78.29,71,12,5.95
northam,au,-27.85999999996821,120.53999999972666,-31.65,116.67,73.4,69,75,3.36
neuquen,ar,-39.77999999997431,-68.1800000001017,-38.95,-68.06,71.6,21,0,9.17
muzhi,ru,65.17000000007937,65.20999999977698,65.4,64.7,7.37,54,0,2.93
ismailia,eg,30.770000000061785,33.199999999806096,30.6,32.27,60.92,62,0,11.14
casambalangan,ph,17.910000000055206,122.66999999972472,18.38,122.13,78.38,100,56,13.15
toora-khem,ru,51.800000000072544,96.86999999974819,52.47,96.11,13.04,61,64,6.55
hurricane,us,36.53000000006473,-112.62000000006128,37.18,-113.29,55.87,25,1,4.7
honningsvag,no,73.16000000008347,26.38999999981229,70.98,25.97,28.4,63,40,11.41
okha,ru,56.360000000074876,144.33999999970501,53.59,142.95,13.94,85,80,20.76
san isidro,ph,6.290000000049261,128.65999999971928,17.47,120.6,70.82,83,56,3.04
garmsar,ir,34.95000000006392,52.37999999978865,35.22,52.34,34.28,79,0,4.09
nuuk,gl,62.430000000077996,-54.310000000114314,64.17,-51.74,12.2,78,90,25.28
sungaipenuh,id,-2.0299999999549954,100.8199999997446,-2.08,101.38,66.14,95,36,1.07
bako,et,6.1500000000491895,36.88999999980274,5.83,36.63,76.67,38,100,1.36
benjamin constant,br,-5.43999999995674,-70.07000000009998,-4.38,-70.03,88.72,66,40,5.82
husavik,is,80.01000000008696,-7.270000000157097,66.04,-17.34,44.6,83,75,16.11
masaka,ug,-0.6399999999542842,31.90999999980727,-0.34,31.75,72.89,94,8,4.61
longonjo,ao,-12.619999999960413,14.769999999822858,-12.91,15.25,65.96,91,44,2.59
le port,re,-19.209999999963784,53.60999999978753,-20.94,55.29,76.06,78,20,10.29
denpasar,id,-11.229999999959702,114.91999999973177,-8.65,115.22,80.6,88,75,11.41
college,us,74.09000000008393,-147.37000000002968,64.86,-147.8,32.22,80,90,7.4
sovetskiy,ru,69.92000000008181,66.23999999977605,56.76,48.47,28.52,97,0,6.11
ahipara,nz,-30.629999999969627,167.94999999968354,-35.17,173.16,61.46,100,32,4.61
maiduguri,ng,12.030000000052198,13.399999999824104,11.84,13.15,91.61,14,0,11.59
kieta,pg,-2.339999999955154,159.82999999969093,-6.22,155.63,78.92,100,48,2.75
gwembe,zm,-16.509999999962403,27.84999999981096,-16.5,27.61,80.09,48,0,4.94
high level,ca,57.82000000007562,-116.49000000005776,58.52,-117.13,41,56,75,6.93
wa,gh,10.540000000051435,-2.3500000001615717,10.06,-2.51,83.06,65,64,1.74
tonstad,no,59.01000000007622,6.649999999830243,58.66,6.71,39.79,71,0,17.22
coromandel,nz,-36.429999999972594,175.4799999996767,-36.76,175.5,65.82,93,64,4.7
nishihara,jp,22.950000000057784,132.50999999971577,35.74,139.53,49.32,70,1,3.31
saijo,jp,33.760000000063314,133.1499999997152,33.92,133.18,48.9,80,92,1.99
beira,mz,-19.919999999964148,34.97999999980448,-19.84,34.84,75.59,98,100,6.33
praia,cv,9.990000000051154,-22.710000000143054,14.92,-23.51,86,74,0,21.92
vysokogornyy,ru,51.41000000007233,139.25999999970963,50.1,139.13,19.61,73,80,6.78
amapa,br,5.140000000048673,-46.01000000012186,-1.83,-56.23,90.71,63,24,4.16
tiruchchendur,in,8.160000000050218,79.10999999976434,8.48,78.12,80.54,86,44,5.88
imbituba,br,-30.9699999999698,-41.41000000012605,-28.24,-48.67,82.4,78,40,11.41
